stn;time;" Globalstrahlung (W/m); Tagesmittel";Gesamtschneehoehe (cm);Gesamtbewoelkung (min);Luftdruck auf Stationshoehe (hpa);Relative Luftfeuchtigkeit (%);Niederschlag (mm);Durchschnittstemperatur (¡C);Sonnenscheindauer (min);Tiefsttemperatur (¡C);Maximaltemperatur (¡C)
NEU;18640101;-;-;-;-;-;7.6;0.3;-;-;-
NEU;18640102;-;-;-;-;-;3.3;-8.5;-;-;-
NEU;18640103;-;-;-;-;-;0;-10.8;-;-;-
NEU;18640104;-;-;-;-;-;0;-10.4;-;-;-
NEU;18640105;-;-;-;-;-;0;-10.8;-;-;-
NEU;18640106;-;-;-;-;-;0;-9.6;-;-;-
NEU;18640107;-;-;-;-;-;0;-7.7;-;-;-
NEU;18640108;-;-;-;-;-;0;-6.3;-;-;-
NEU;18640109;-;-;-;-;-;0;-7.3;-;-;-
NEU;18640110;-;-;-;-;-;0;-8.8;-;-;-
NEU;18640111;-;-;-;-;-;0;-8.6;-;-;-
NEU;18640112;-;-;-;-;-;0;-7.7;-;-;-
NEU;18640113;-;-;-;-;-;0;-7.8;-;-;-
NEU;18640114;-;-;-;-;-;0;-6.1;-;-;-
NEU;18640115;-;-;-;-;-;0;-8.8;-;-;-
NEU;18640116;-;-;-;-;-;0;-10.3;-;-;-
NEU;18640117;-;-;-;-;-;0;-6.7;-;-;-
NEU;18640118;-;-;-;-;-;0;-4.7;-;-;-
NEU;18640119;-;-;-;-;-;0;-4;-;-;-
NEU;18640120;-;-;-;-;-;0;-5.7;-;-;-
NEU;18640121;-;-;-;-;-;0;-4.7;-;-;-
NEU;18640122;-;-;-;-;-;0;-3.3;-;-;-
NEU;18640123;-;-;-;-;-;0;-0.7;-;-;-
NEU;18640124;-;-;-;-;-;0;4.3;-;-;-
NEU;18640125;-;-;-;-;-;3;4.2;-;-;-
NEU;18640126;-;-;-;-;-;0;1.8;-;-;-
NEU;18640127;-;-;-;-;-;0;4.3;-;-;-
NEU;18640128;-;-;-;-;-;0.5;4.5;-;-;-
NEU;18640129;-;-;-;-;-;8.5;1.4;-;-;-
NEU;18640130;-;-;-;-;-;0.2;-3.5;-;-;-
NEU;18640131;-;-;-;-;-;0;-5.4;-;-;-
NEU;18640201;-;-;-;-;-;0;-4.4;-;-;-
NEU;18640202;-;-;-;-;-;0;-3;-;-;-
NEU;18640203;-;-;-;-;-;0;-2.5;-;-;-
NEU;18640204;-;-;-;-;-;1;3.1;-;-;-
NEU;18640205;-;-;-;-;-;0;-0.9;-;-;-
NEU;18640206;-;-;-;-;-;0;-2;-;-;-
NEU;18640207;-;-;-;-;-;2.8;-3.2;-;-;-
NEU;18640208;-;-;-;-;-;0;-4.9;-;-;-
NEU;18640209;-;-;-;-;-;0;-5;-;-;-
NEU;18640210;-;-;-;-;-;0;-4.7;-;-;-
NEU;18640211;-;-;-;-;-;0;-3;-;-;-
NEU;18640212;-;-;-;-;-;0;-4.1;-;-;-
NEU;18640213;-;-;-;-;-;8;5.7;-;-;-
NEU;18640214;-;-;-;-;-;0;5.1;-;-;-
NEU;18640215;-;-;-;-;-;0;4.6;-;-;-
NEU;18640216;-;-;-;-;-;0;6.5;-;-;-
NEU;18640217;-;-;-;-;-;7;2;-;-;-
NEU;18640218;-;-;-;-;-;5.3;-2.2;-;-;-
NEU;18640219;-;-;-;-;-;0.2;-6.8;-;-;-
NEU;18640220;-;-;-;-;-;0;-4.8;-;-;-
NEU;18640221;-;-;-;-;-;0;-1.3;-;-;-
NEU;18640222;-;-;-;-;-;0;3.3;-;-;-
NEU;18640223;-;-;-;-;-;0;2.2;-;-;-
NEU;18640224;-;-;-;-;-;0;4.7;-;-;-
NEU;18640225;-;-;-;-;-;0;4.7;-;-;-
NEU;18640226;-;-;-;-;-;0.1;5.1;-;-;-
NEU;18640227;-;-;-;-;-;0;4.1;-;-;-
NEU;18640228;-;-;-;-;-;0;6;-;-;-
NEU;18640229;-;-;-;-;-;0;5.4;-;-;-
NEU;18640301;-;-;-;-;-;0;4.8;-;-;-
NEU;18640302;-;-;-;-;-;0.7;2;-;-;-
NEU;18640303;-;-;-;-;-;5.1;4.7;-;-;-
NEU;18640304;-;-;-;-;-;0.6;7.6;-;-;-
NEU;18640305;-;-;-;-;-;0.1;8.8;-;-;-
NEU;18640306;-;-;-;-;-;6.9;7.6;-;-;-
NEU;18640307;-;-;-;-;-;0.6;11.1;-;-;-
NEU;18640308;-;-;-;-;-;0.7;8.3;-;-;-
NEU;18640309;-;-;-;-;-;14;8;-;-;-
NEU;18640310;-;-;-;-;-;3.1;3.6;-;-;-
NEU;18640311;-;-;-;-;-;0;3.7;-;-;-
NEU;18640312;-;-;-;-;-;2.1;4.9;-;-;-
NEU;18640313;-;-;-;-;-;0;3.8;-;-;-
NEU;18640314;-;-;-;-;-;0;4.4;-;-;-
NEU;18640315;-;-;-;-;-;0;8.1;-;-;-
NEU;18640316;-;-;-;-;-;0;7.3;-;-;-
NEU;18640317;-;-;-;-;-;0;3.6;-;-;-
NEU;18640318;-;-;-;-;-;0;4.2;-;-;-
NEU;18640319;-;-;-;-;-;0;8.5;-;-;-
NEU;18640320;-;-;-;-;-;4;6;-;-;-
NEU;18640321;-;-;-;-;-;3;7.5;-;-;-
NEU;18640322;-;-;-;-;-;1.4;8.9;-;-;-
NEU;18640323;-;-;-;-;-;14.9;6.4;-;-;-
NEU;18640324;-;-;-;-;-;3;5.6;-;-;-
NEU;18640325;-;-;-;-;-;0;7.2;-;-;-
NEU;18640326;-;-;-;-;-;2.9;5.1;-;-;-
NEU;18640327;-;-;-;-;-;1.5;6.9;-;-;-
NEU;18640328;-;-;-;-;-;0;3.2;-;-;-
NEU;18640329;-;-;-;-;-;6.5;0.9;-;-;-
NEU;18640330;-;-;-;-;-;0;1.3;-;-;-
NEU;18640331;-;-;-;-;-;0;4.4;-;-;-
NEU;18640401;-;-;-;-;-;0;6.8;-;-;-
NEU;18640402;-;-;-;-;-;7.1;4.2;-;-;-
NEU;18640403;-;-;-;-;-;0.9;6.2;-;-;-
NEU;18640404;-;-;-;-;-;1.4;7.1;-;-;-
NEU;18640405;-;-;-;-;-;3.6;6.3;-;-;-
NEU;18640406;-;-;-;-;-;0.8;5.7;-;-;-
NEU;18640407;-;-;-;-;-;0;4.5;-;-;-
NEU;18640408;-;-;-;-;-;0;-0.1;-;-;-
NEU;18640409;-;-;-;-;-;0;3.1;-;-;-
NEU;18640410;-;-;-;-;-;0;7.9;-;-;-
NEU;18640411;-;-;-;-;-;0;8.1;-;-;-
NEU;18640412;-;-;-;-;-;0;11.1;-;-;-
NEU;18640413;-;-;-;-;-;0;12.3;-;-;-
NEU;18640414;-;-;-;-;-;0;10.1;-;-;-
NEU;18640415;-;-;-;-;-;0;11.4;-;-;-
NEU;18640416;-;-;-;-;-;0;6;-;-;-
NEU;18640417;-;-;-;-;-;11.8;5.5;-;-;-
NEU;18640418;-;-;-;-;-;0.6;8.4;-;-;-
NEU;18640419;-;-;-;-;-;0;12.4;-;-;-
NEU;18640420;-;-;-;-;-;0;12.3;-;-;-
NEU;18640421;-;-;-;-;-;0;10.1;-;-;-
NEU;18640422;-;-;-;-;-;0;9.3;-;-;-
NEU;18640423;-;-;-;-;-;0;11.8;-;-;-
NEU;18640424;-;-;-;-;-;0;14.5;-;-;-
NEU;18640425;-;-;-;-;-;0;14;-;-;-
NEU;18640426;-;-;-;-;-;0;16.4;-;-;-
NEU;18640427;-;-;-;-;-;0;14.1;-;-;-
NEU;18640428;-;-;-;-;-;1.6;10.4;-;-;-
NEU;18640429;-;-;-;-;-;4.2;8.5;-;-;-
NEU;18640430;-;-;-;-;-;3;10.6;-;-;-
NEU;18640501;-;-;-;-;-;0;10.5;-;-;-
NEU;18640502;-;-;-;-;-;0;8.6;-;-;-
NEU;18640503;-;-;-;-;-;23.4;10.6;-;-;-
NEU;18640504;-;-;-;-;-;3.1;8.7;-;-;-
NEU;18640505;-;-;-;-;-;9.6;10.5;-;-;-
NEU;18640506;-;-;-;-;-;1.3;11.6;-;-;-
NEU;18640507;-;-;-;-;-;0;13.8;-;-;-
NEU;18640508;-;-;-;-;-;0;17.6;-;-;-
NEU;18640509;-;-;-;-;-;0;15.9;-;-;-
NEU;18640510;-;-;-;-;-;1.1;14.3;-;-;-
NEU;18640511;-;-;-;-;-;0;15.4;-;-;-
NEU;18640512;-;-;-;-;-;13.5;11;-;-;-
NEU;18640513;-;-;-;-;-;4.8;12.6;-;-;-
NEU;18640514;-;-;-;-;-;9.9;11.8;-;-;-
NEU;18640515;-;-;-;-;-;2.1;15.4;-;-;-
NEU;18640516;-;-;-;-;-;0;18.4;-;-;-
NEU;18640517;-;-;-;-;-;0;19.8;-;-;-
NEU;18640518;-;-;-;-;-;0;19.8;-;-;-
NEU;18640519;-;-;-;-;-;0;19.8;-;-;-
NEU;18640520;-;-;-;-;-;0;19.4;-;-;-
NEU;18640521;-;-;-;-;-;0;16.9;-;-;-
NEU;18640522;-;-;-;-;-;0;15.4;-;-;-
NEU;18640523;-;-;-;-;-;2.6;14.3;-;-;-
NEU;18640524;-;-;-;-;-;1.8;10.6;-;-;-
NEU;18640525;-;-;-;-;-;0;14.5;-;-;-
NEU;18640526;-;-;-;-;-;0;12.2;-;-;-
NEU;18640527;-;-;-;-;-;0;10;-;-;-
NEU;18640528;-;-;-;-;-;0;12.9;-;-;-
NEU;18640529;-;-;-;-;-;0;14.5;-;-;-
NEU;18640530;-;-;-;-;-;0;15.4;-;-;-
NEU;18640531;-;-;-;-;-;0;16.2;-;-;-
NEU;18640601;-;-;-;-;-;4.8;19;-;-;-
NEU;18640602;-;-;-;-;-;7.3;17.2;-;-;-
NEU;18640603;-;-;-;-;-;3;16.6;-;-;-
NEU;18640604;-;-;-;-;-;0;16.1;-;-;-
NEU;18640605;-;-;-;-;-;17.5;15.4;-;-;-
NEU;18640606;-;-;-;-;-;0.5;19.3;-;-;-
NEU;18640607;-;-;-;-;-;0;14;-;-;-
NEU;18640608;-;-;-;-;-;26.2;13.4;-;-;-
NEU;18640609;-;-;-;-;-;0;16;-;-;-
NEU;18640610;-;-;-;-;-;58.4;9.3;-;-;-
NEU;18640611;-;-;-;-;-;34.3;12.9;-;-;-
NEU;18640612;-;-;-;-;-;0;15.8;-;-;-
NEU;18640613;-;-;-;-;-;0;16;-;-;-
NEU;18640614;-;-;-;-;-;1.7;15.8;-;-;-
NEU;18640615;-;-;-;-;-;29.6;12.7;-;-;-
NEU;18640616;-;-;-;-;-;0.6;15;-;-;-
NEU;18640617;-;-;-;-;-;6.7;14.6;-;-;-
NEU;18640618;-;-;-;-;-;0;17.9;-;-;-
NEU;18640619;-;-;-;-;-;0;16.1;-;-;-
NEU;18640620;-;-;-;-;-;0;17.6;-;-;-
NEU;18640621;-;-;-;-;-;0;19.3;-;-;-
NEU;18640622;-;-;-;-;-;0;19;-;-;-
NEU;18640623;-;-;-;-;-;0;19.3;-;-;-
NEU;18640624;-;-;-;-;-;1.2;16.9;-;-;-
NEU;18640625;-;-;-;-;-;0;18.1;-;-;-
NEU;18640626;-;-;-;-;-;0;18.9;-;-;-
NEU;18640627;-;-;-;-;-;0.9;12.3;-;-;-
NEU;18640628;-;-;-;-;-;0.6;10.8;-;-;-
NEU;18640629;-;-;-;-;-;0;12.3;-;-;-
NEU;18640630;-;-;-;-;-;2.6;13.5;-;-;-
NEU;18640701;-;-;-;-;-;6.1;15;-;-;-
NEU;18640702;-;-;-;-;-;0;16.6;-;-;-
NEU;18640703;-;-;-;-;-;0;18;-;-;-
NEU;18640704;-;-;-;-;-;3;15.1;-;-;-
NEU;18640705;-;-;-;-;-;0;16.4;-;-;-
NEU;18640706;-;-;-;-;-;0;16.6;-;-;-
NEU;18640707;-;-;-;-;-;0;15.5;-;-;-
NEU;18640708;-;-;-;-;-;0;16.3;-;-;-
NEU;18640709;-;-;-;-;-;0;18;-;-;-
NEU;18640710;-;-;-;-;-;0;18.2;-;-;-
NEU;18640711;-;-;-;-;-;2.8;21.4;-;-;-
NEU;18640712;-;-;-;-;-;0;22.5;-;-;-
NEU;18640713;-;-;-;-;-;7.1;18.5;-;-;-
NEU;18640714;-;-;-;-;-;0;19.4;-;-;-
NEU;18640715;-;-;-;-;-;0;18.9;-;-;-
NEU;18640716;-;-;-;-;-;0;20.8;-;-;-
NEU;18640717;-;-;-;-;-;2.4;20.3;-;-;-
NEU;18640718;-;-;-;-;-;3.5;18.8;-;-;-
NEU;18640719;-;-;-;-;-;0.5;18.3;-;-;-
NEU;18640720;-;-;-;-;-;0;18.9;-;-;-
NEU;18640721;-;-;-;-;-;0;21.8;-;-;-
NEU;18640722;-;-;-;-;-;0.4;20;-;-;-
NEU;18640723;-;-;-;-;-;0;20;-;-;-
NEU;18640724;-;-;-;-;-;0;20.3;-;-;-
NEU;18640725;-;-;-;-;-;0;22.3;-;-;-
NEU;18640726;-;-;-;-;-;0.2;19.3;-;-;-
NEU;18640727;-;-;-;-;-;0;21.1;-;-;-
NEU;18640728;-;-;-;-;-;0;22.4;-;-;-
NEU;18640729;-;-;-;-;-;7.8;20.4;-;-;-
NEU;18640730;-;-;-;-;-;0;21.1;-;-;-
NEU;18640731;-;-;-;-;-;0;22.5;-;-;-
NEU;18640801;-;-;-;-;-;0;24.5;-;-;-
NEU;18640802;-;-;-;-;-;0;20.2;-;-;-
NEU;18640803;-;-;-;-;-;0;19.7;-;-;-
NEU;18640804;-;-;-;-;-;0;21;-;-;-
NEU;18640805;-;-;-;-;-;0;22.1;-;-;-
NEU;18640806;-;-;-;-;-;0;23.1;-;-;-
NEU;18640807;-;-;-;-;-;0;24.3;-;-;-
NEU;18640808;-;-;-;-;-;0;23.8;-;-;-
NEU;18640809;-;-;-;-;-;0;24.7;-;-;-
NEU;18640810;-;-;-;-;-;0;16.3;-;-;-
NEU;18640811;-;-;-;-;-;0;10.6;-;-;-
NEU;18640812;-;-;-;-;-;2.5;14.7;-;-;-
NEU;18640813;-;-;-;-;-;0;15.4;-;-;-
NEU;18640814;-;-;-;-;-;0;14;-;-;-
NEU;18640815;-;-;-;-;-;0;15.6;-;-;-
NEU;18640816;-;-;-;-;-;0;19.7;-;-;-
NEU;18640817;-;-;-;-;-;0;21.3;-;-;-
NEU;18640818;-;-;-;-;-;1.3;17;-;-;-
NEU;18640819;-;-;-;-;-;1.5;17.5;-;-;-
NEU;18640820;-;-;-;-;-;29.7;17;-;-;-
NEU;18640821;-;-;-;-;-;0;18.3;-;-;-
NEU;18640822;-;-;-;-;-;0;20.9;-;-;-
NEU;18640823;-;-;-;-;-;0;18.4;-;-;-
NEU;18640824;-;-;-;-;-;8.8;11.6;-;-;-
NEU;18640825;-;-;-;-;-;8.5;12.5;-;-;-
NEU;18640826;-;-;-;-;-;0;11.7;-;-;-
NEU;18640827;-;-;-;-;-;0;10.6;-;-;-
NEU;18640828;-;-;-;-;-;0;11.4;-;-;-
NEU;18640829;-;-;-;-;-;0;13.4;-;-;-
NEU;18640830;-;-;-;-;-;0;15.5;-;-;-
NEU;18640831;-;-;-;-;-;0;17.4;-;-;-
NEU;18640901;-;-;-;-;-;3.1;15.8;-;-;-
NEU;18640902;-;-;-;-;-;4.7;15.4;-;-;-
NEU;18640903;-;-;-;-;-;0;15.4;-;-;-
NEU;18640904;-;-;-;-;-;14.7;12.2;-;-;-
NEU;18640905;-;-;-;-;-;0;15.6;-;-;-
NEU;18640906;-;-;-;-;-;0;17.5;-;-;-
NEU;18640907;-;-;-;-;-;0;18.2;-;-;-
NEU;18640908;-;-;-;-;-;0;18.3;-;-;-
NEU;18640909;-;-;-;-;-;0;18.5;-;-;-
NEU;18640910;-;-;-;-;-;0;17.8;-;-;-
NEU;18640911;-;-;-;-;-;14.1;13.9;-;-;-
NEU;18640912;-;-;-;-;-;18.1;9.1;-;-;-
NEU;18640913;-;-;-;-;-;0;10.6;-;-;-
NEU;18640914;-;-;-;-;-;0;10.6;-;-;-
NEU;18640915;-;-;-;-;-;0;13.2;-;-;-
NEU;18640916;-;-;-;-;-;0;17.4;-;-;-
NEU;18640917;-;-;-;-;-;0;14.9;-;-;-
NEU;18640918;-;-;-;-;-;12.7;13.5;-;-;-
NEU;18640919;-;-;-;-;-;1.1;12.3;-;-;-
NEU;18640920;-;-;-;-;-;0;10.3;-;-;-
NEU;18640921;-;-;-;-;-;0;10;-;-;-
NEU;18640922;-;-;-;-;-;0;13.7;-;-;-
NEU;18640923;-;-;-;-;-;5.2;13.6;-;-;-
NEU;18640924;-;-;-;-;-;0;14.3;-;-;-
NEU;18640925;-;-;-;-;-;0;13.2;-;-;-
NEU;18640926;-;-;-;-;-;0;13.6;-;-;-
NEU;18640927;-;-;-;-;-;0;12.7;-;-;-
NEU;18640928;-;-;-;-;-;0;10.9;-;-;-
NEU;18640929;-;-;-;-;-;0;12.4;-;-;-
NEU;18640930;-;-;-;-;-;0;12.8;-;-;-
NEU;18641001;-;-;-;-;-;0;10.6;-;-;-
NEU;18641002;-;-;-;-;-;0;9.1;-;-;-
NEU;18641003;-;-;-;-;-;0;6.7;-;-;-
NEU;18641004;-;-;-;-;-;0;4.7;-;-;-
NEU;18641005;-;-;-;-;-;0;5.8;-;-;-
NEU;18641006;-;-;-;-;-;0;4.3;-;-;-
NEU;18641007;-;-;-;-;-;0;5.2;-;-;-
NEU;18641008;-;-;-;-;-;0;4.9;-;-;-
NEU;18641009;-;-;-;-;-;0;3.7;-;-;-
NEU;18641010;-;-;-;-;-;0;5.9;-;-;-
NEU;18641011;-;-;-;-;-;0;8.2;-;-;-
NEU;18641012;-;-;-;-;-;0;9.3;-;-;-
NEU;18641013;-;-;-;-;-;0;10;-;-;-
NEU;18641014;-;-;-;-;-;0;8.9;-;-;-
NEU;18641015;-;-;-;-;-;0;7;-;-;-
NEU;18641016;-;-;-;-;-;0;4;-;-;-
NEU;18641017;-;-;-;-;-;0;7.8;-;-;-
NEU;18641018;-;-;-;-;-;0;10.7;-;-;-
NEU;18641019;-;-;-;-;-;0;9.4;-;-;-
NEU;18641020;-;-;-;-;-;0.2;9.9;-;-;-
NEU;18641021;-;-;-;-;-;2.7;10.6;-;-;-
NEU;18641022;-;-;-;-;-;0;11.9;-;-;-
NEU;18641023;-;-;-;-;-;27;11.2;-;-;-
NEU;18641024;-;-;-;-;-;14.6;8.1;-;-;-
NEU;18641025;-;-;-;-;-;0;6.7;-;-;-
NEU;18641026;-;-;-;-;-;0;11.7;-;-;-
NEU;18641027;-;-;-;-;-;14.8;9.1;-;-;-
NEU;18641028;-;-;-;-;-;0;7.1;-;-;-
NEU;18641029;-;-;-;-;-;0;7.9;-;-;-
NEU;18641030;-;-;-;-;-;0;9.3;-;-;-
NEU;18641031;-;-;-;-;-;0;7.5;-;-;-
NEU;18641101;-;-;-;-;-;0;7.7;-;-;-
NEU;18641102;-;-;-;-;-;0;8.1;-;-;-
NEU;18641103;-;-;-;-;-;7.5;8.8;-;-;-
NEU;18641104;-;-;-;-;-;3.1;3.6;-;-;-
NEU;18641105;-;-;-;-;-;0;3.2;-;-;-
NEU;18641106;-;-;-;-;-;0;2.3;-;-;-
NEU;18641107;-;-;-;-;-;0;-1.7;-;-;-
NEU;18641108;-;-;-;-;-;0;-0.9;-;-;-
NEU;18641109;-;-;-;-;-;0;0.1;-;-;-
NEU;18641110;-;-;-;-;-;0;0.3;-;-;-
NEU;18641111;-;-;-;-;-;0;0.3;-;-;-
NEU;18641112;-;-;-;-;-;0;3.5;-;-;-
NEU;18641113;-;-;-;-;-;0;4.9;-;-;-
NEU;18641114;-;-;-;-;-;8.6;8.2;-;-;-
NEU;18641115;-;-;-;-;-;2.9;6.8;-;-;-
NEU;18641116;-;-;-;-;-;4.9;5.8;-;-;-
NEU;18641117;-;-;-;-;-;1;4.6;-;-;-
NEU;18641118;-;-;-;-;-;9.1;5.3;-;-;-
NEU;18641119;-;-;-;-;-;4.9;4.6;-;-;-
NEU;18641120;-;-;-;-;-;0;3.3;-;-;-
NEU;18641121;-;-;-;-;-;0.7;4.9;-;-;-
NEU;18641122;-;-;-;-;-;0;6;-;-;-
NEU;18641123;-;-;-;-;-;7.2;6.1;-;-;-
NEU;18641124;-;-;-;-;-;5.9;4.2;-;-;-
NEU;18641125;-;-;-;-;-;4.9;3.8;-;-;-
NEU;18641126;-;-;-;-;-;12.1;3.8;-;-;-
NEU;18641127;-;-;-;-;-;8.2;2.5;-;-;-
NEU;18641128;-;-;-;-;-;0;-0.9;-;-;-
NEU;18641129;-;-;-;-;-;2;1.4;-;-;-
NEU;18641130;-;-;-;-;-;0;1.5;-;-;-
NEU;18641201;-;-;-;-;-;0;0.8;-;-0.6;1.8
NEU;18641202;-;-;-;-;-;0;1;-;-0.5;2
NEU;18641203;-;-;-;-;-;0;0.1;-;-1.1;1
NEU;18641204;-;-;-;-;-;0;-2.4;-;-3.5;0.3
NEU;18641205;-;-;-;-;-;0;-3.2;-;-4.4;-2.1
NEU;18641206;-;-;-;-;-;0;-1.8;-;-3.8;-0.3
NEU;18641207;-;-;-;-;-;0;-3.6;-;-4.4;-2
NEU;18641208;-;-;-;-;-;0;-2.3;-;-4.5;-0.5
NEU;18641209;-;-;-;-;-;0;-1.8;-;-3.4;2.2
NEU;18641210;-;-;-;-;-;0;-2.4;-;-5;-0.4
NEU;18641211;-;-;-;-;-;0;-2.4;-;-4.4;0.1
NEU;18641212;-;-;-;-;-;0;-3.3;-;-4.5;-2.3
NEU;18641213;-;-;-;-;-;0;-3.2;-;-4.8;-2.2
NEU;18641214;-;-;-;-;-;0;-2.8;-;-4.1;-2.3
NEU;18641215;-;-;-;-;-;0;-1.3;-;-3.6;1.7
NEU;18641216;-;-;-;-;-;0;0.7;-;-1.8;2
NEU;18641217;-;-;-;-;-;0;0.8;-;-0.3;2.2
NEU;18641218;-;-;-;-;-;0;-0.1;-;-3.2;0.6
NEU;18641219;-;-;-;-;-;0;0;-;-1.1;2.5
NEU;18641220;-;-;-;-;-;0;1.6;-;-0.8;2.9
NEU;18641221;-;-;-;-;-;5.5;1.8;-;0.9;3.1
NEU;18641222;-;-;-;-;-;5.5;0.1;-;-1.1;2.9
NEU;18641223;-;-;-;-;-;0;-4.2;-;-5.4;-2.4
NEU;18641224;-;-;-;-;-;0;-6.4;-;-7.4;-5.2
NEU;18641225;-;-;-;-;-;0;-7.9;-;-8.6;-5.4
NEU;18641226;-;-;-;-;-;0;-8.3;-;-9.1;-5.9
NEU;18641227;-;-;-;-;-;0;-6.5;-;-9.1;-3.7
NEU;18641228;-;-;-;-;-;0;-6.3;-;-8.3;-4.2
NEU;18641229;-;-;-;-;-;0;-5.2;-;-7.8;-4.3
NEU;18641230;-;-;-;-;-;0;-4.2;-;-6.2;-3.7
NEU;18641231;-;-;-;-;-;0;-3.6;-;-5.3;-2.2
NEU;18650101;-;-;-;-;-;0;-1.7;-;-5.4;0.4
NEU;18650102;-;-;-;-;-;1.3;-1.7;-;-2.8;0
NEU;18650103;-;-;-;-;-;0;-1.6;-;-3;0.9
NEU;18650104;-;-;-;-;-;0;-0.9;-;-5;1.3
NEU;18650105;-;-;-;-;-;0;2.9;-;-0.2;6
NEU;18650106;-;-;-;-;-;0;4.1;-;1.8;7.4
NEU;18650107;-;-;-;-;-;1.3;-1.2;-;-4.5;3.3
NEU;18650108;-;-;-;-;-;0;-2.9;-;-7.2;1.3
NEU;18650109;-;-;-;-;-;0;3.7;-;-4.2;8.5
NEU;18650110;-;-;-;-;-;0.2;3.2;-;-1.5;7.5
NEU;18650111;-;-;-;-;-;0;1.2;-;-0.5;3.6
NEU;18650112;-;-;-;-;-;0;-0.2;-;-2.3;4.2
NEU;18650113;-;-;-;-;-;3;1.8;-;-2.9;5.4
NEU;18650114;-;-;-;-;-;8.8;3.6;-;2;5.5
NEU;18650115;-;-;-;-;-;5.2;0.5;-;-0.1;0.9
NEU;18650116;-;-;-;-;-;2.5;0.5;-;-1;1.3
NEU;18650117;-;-;-;-;-;0;0;-;-1.2;2.1
NEU;18650118;-;-;-;-;-;0;-1.1;-;-2.5;1.5
NEU;18650119;-;-;-;-;-;18.4;-0.1;-;-1.9;2.9
NEU;18650120;-;-;-;-;-;10.6;-0.4;-;-0.6;0.7
NEU;18650121;-;-;-;-;-;18.6;0.4;-;-1.3;3.7
NEU;18650122;-;-;-;-;-;10.1;2;-;-0.1;3.7
NEU;18650123;-;-;-;-;-;6.3;0.7;-;-2.9;4.8
NEU;18650124;-;-;-;-;-;0;6;-;-1.2;9.2
NEU;18650125;-;-;-;-;-;7.3;7.8;-;4.7;9.3
NEU;18650126;-;-;-;-;-;2;8.3;-;6.4;12.3
NEU;18650127;-;-;-;-;-;3;7.6;-;3;10.8
NEU;18650128;-;-;-;-;-;2.9;0.1;-;-1.3;3.7
NEU;18650129;-;-;-;-;-;0;-1.9;-;-3.9;0.5
NEU;18650130;-;-;-;-;-;1.3;-2;-;-6.7;1.4
NEU;18650131;-;-;-;-;-;2.5;2.1;-;-1.2;4.8
NEU;18650201;-;-;-;-;-;12.7;3.4;-;-0.6;4.6
NEU;18650202;-;-;-;-;-;11.6;3.8;-;1.1;6.2
NEU;18650203;-;-;-;-;-;18.4;3.3;-;-0.1;5.2
NEU;18650204;-;-;-;-;-;10.3;3.9;-;0;6.4
NEU;18650205;-;-;-;-;-;0;2.6;-;-1.4;8.2
NEU;18650206;-;-;-;-;-;0;0.9;-;-1.7;2.9
NEU;18650207;-;-;-;-;-;0;-0.3;-;-1.7;1.5
NEU;18650208;-;-;-;-;-;0;1.5;-;-3.4;3.8
NEU;18650209;-;-;-;-;-;2.7;-3.3;-;-4.6;0.1
NEU;18650210;-;-;-;-;-;0;-7.2;-;-8.5;-5.7
NEU;18650211;-;-;-;-;-;0;-10.6;-;-12.7;-8
NEU;18650212;-;-;-;-;-;0;-10.7;-;-13.4;-8.1
NEU;18650213;-;-;-;-;-;0;-8.3;-;-11.2;-4.9
NEU;18650214;-;-;-;-;-;0;-7.7;-;-12.1;-3.1
NEU;18650215;-;-;-;-;-;0;-6.9;-;-10.1;-5.9
NEU;18650216;-;-;-;-;-;0;-2.6;-;-6.8;0.2
NEU;18650217;-;-;-;-;-;9.4;0.1;-;-3.5;4
NEU;18650218;-;-;-;-;-;4.8;1.8;-;-3.4;5.3
NEU;18650219;-;-;-;-;-;6.1;3.5;-;1.1;7.4
NEU;18650220;-;-;-;-;-;4.6;-1.4;-;-2.8;1.1
NEU;18650221;-;-;-;-;-;3.8;-2.3;-;-4.3;0.7
NEU;18650222;-;-;-;-;-;1;-2.1;-;-5.9;1.2
NEU;18650223;-;-;-;-;-;0;-1.3;-;-6.8;3.7
NEU;18650224;-;-;-;-;-;0;0.1;-;-4.3;3.8
NEU;18650225;-;-;-;-;-;0;3.8;-;0;7
NEU;18650226;-;-;-;-;-;0;3.3;-;0;6.9
NEU;18650227;-;-;-;-;-;0;3.3;-;-0.4;6.7
NEU;18650228;-;-;-;-;-;0;4.2;-;-0.6;7.2
NEU;18650301;-;-;-;-;-;7.5;3.5;-;2.9;5.3
NEU;18650302;-;-;-;-;-;5.2;2.9;-;1.2;7
NEU;18650303;-;-;-;-;-;13.7;1.4;-;-0.5;3.7
NEU;18650304;-;-;-;-;-;0.7;0.6;-;-2.4;4.7
NEU;18650305;-;-;-;-;-;0;1.8;-;-4.2;4.7
NEU;18650306;-;-;-;-;-;0;3.8;-;0;7.9
NEU;18650307;-;-;-;-;-;2.6;2.2;-;0.9;4
NEU;18650308;-;-;-;-;-;1.2;1.4;-;-0.4;2.8
NEU;18650309;-;-;-;-;-;0;0.6;-;-0.6;5.4
NEU;18650310;-;-;-;-;-;0;0.8;-;-4.6;4.5
NEU;18650311;-;-;-;-;-;3.3;0.2;-;-0.6;1.2
